# Clover circuit - 4-lobe symmetrical track
# x, y, z  (y=0 flat, x/z are horizontal plane)
# Start at bottom lobe tip, going clockwise
# Formula: r(theta) = 185 + 65*cos(4*theta), sampled every 5 degrees
# min r=120 (valley), max r=250 (lobe tip)

0,    0,  250
21,   0,  245
41,   0,  231
56,   0,  210
67,   0,  184
73,   0,  157
76,   0,  132
78,   0,  111
80,   0,   95
85,   0,   85
95,   0,   80
111,  0,   78
132,  0,   76
157,  0,   73
184,  0,   67
210,  0,   56
231,  0,   41
245,  0,   21
250,  0,    0
245,  0,  -21
231,  0,  -41
210,  0,  -56
184,  0,  -67
157,  0,  -73
132,  0,  -76
111,  0,  -78
95,   0,  -80
85,   0,  -85
80,   0,  -95
78,   0, -111
76,   0, -132
73,   0, -157
67,   0, -184
56,   0, -210
41,   0, -231
21,   0, -245
0,    0, -250
-21,  0, -245
-41,  0, -231
-56,  0, -210
-67,  0, -184
-73,  0, -157
-76,  0, -132
-78,  0, -111
-80,  0,  -95
-85,  0,  -85
-95,  0,  -80
-111, 0,  -78
-132, 0,  -76
-157, 0,  -73
-184, 0,  -67
-210, 0,  -56
-231, 0,  -41
-245, 0,  -21
-250, 0,    0
-245, 0,   21
-231, 0,   41
-210, 0,   56
-184, 0,   67
-157, 0,   73
-132, 0,   76
-111, 0,   78
-95,  0,   80
-85,  0,   85
-80,  0,   95
-78,  0,  111
-76,  0,  132
-73,  0,  157
-67,  0,  184
-56,  0,  210
-41,  0,  231
-21,  0,  245
0,    0,  250
