# Silverstone-style circuit
# x, y, z  (y=0 flat, x/z are horizontal plane)
# Starting at Abbey, going clockwise

0,      0,    0
80,     0,   -20
160,    0,   -30
220,    0,    20
260,    0,    80
240,    0,   160
200,    0,   220
160,    0,   260
80,     0,   280
-20,    0,   260
-100,   0,   240
-180,   0,   280
-260,   0,   300
-360,   0,   280
-420,   0,   220
-440,   0,   140
-420,   0,    60
-380,   0,    20
-340,   0,   -40
-320,   0,  -120
-260,   0,  -180
-180,   0,  -200
-100,   0,  -180
-60,    0,  -120
-40,    0,   -60
0,      0,    0
